epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,559.407,1.53822,2.00083,1.41804,0.73644,0.7059,0.82796,0.50857,1.53663,1.81881,1.39079,0.000548158,0.000548158,0.000548158
2,1104.65,1.11427,0.99425,1.13295,0.82059,0.79788,0.84178,0.61252,1.31552,1.40346,1.32122,0.00108197,0.00108197,0.00108197
3,2155.12,0.97621,0.85572,1.06251,0.90099,0.81376,0.88431,0.66658,1.17341,1.3442,1.2607,0.00159378,0.00159378,0.00159378
4,2671.87,0.94303,0.80193,1.04862,0.90602,0.79572,0.89443,0.71151,1.06756,1.21797,1.1971,0.00156798,0.00156798,0.00156798
5,4468.45,0.86811,0.73649,1.00929,0.92998,0.80804,0.9055,0.73774,1.03482,1.11895,1.19486,0.00153497,0.00153497,0.00153497
6,5017.8,0.8202,0.69,0.99549,0.90921,0.86436,0.94405,0.77147,0.9379,0.9924,1.1049,0.00150197,0.00150197,0.00150197
7,6033.78,0.79211,0.65896,0.9808,0.89192,0.8203,0.91529,0.76609,0.92961,1.03231,1.10819,0.00146896,0.00146896,0.00146896
