epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,682.138,0.69449,0.58747,0.94397,0.93414,0.86133,0.9493,0.81095,0.84776,0.80028,1.06008,0.000540649,0.000540649,0.000540649
2,4128.43,0.70823,0.58148,0.94891,0.914,0.83062,0.91024,0.7676,0.95397,1.02717,1.13748,0.00107461,0.00107461,0.00107461
3,4835.91,0.72162,0.56974,0.95351,0.93339,0.82596,0.91589,0.75692,0.97155,0.92434,1.10539,0.00158656,0.00158656,0.00158656
4,5570.21,0.7169,0.57063,0.94988,0.90622,0.78351,0.88338,0.71236,1.01886,1.1263,1.17532,0.00156798,0.00156798,0.00156798
5,6294.4,0.68693,0.5426,0.93592,0.92729,0.84505,0.91891,0.77074,0.95087,0.88358,1.15107,0.00153497,0.00153497,0.00153497
6,7012.78,0.66689,0.51866,0.92881,0.93323,0.8645,0.94795,0.80459,0.8781,0.76512,1.08677,0.00150197,0.00150197,0.00150197
